Gene.Names	N1	N2	N3	N4	T6	T3	T1	T2	T4	T5	T7
ITIH2	2.41E+08	2.75E+08	1.27E+08	4.17E+08	9.90E+08	5.65E+08	3.07E+09	1.90E+09	9.19E+08	1.11E+09	8.35E+08
COQ6	0	4409100	7449500	2425100	0	0	0	0	0	0	0
ACAT1	1.25E+09	1.26E+09	2.37E+09	3.52E+08	1.95E+08	2.90E+08	1.71E+08	1.87E+08	1.93E+08	3.45E+08	55400000
NEXN	0	6446000	12100000	4470100	0	0	0	0	0	0	0
EFEMP2	0	0	0	0	0	1.43E+08	1.35E+08	2.25E+08	74300000	51300000	43400000
UBE2G1	7616400	3507700	8492400	0	0	0	0	0	0	0	0
APOE	0	0	0	0	1.73E+08	0	1.63E+09	9.62E+08	6055100	50200000	3.81E+08
LDHD	7395700	15700000	11300000	0	0	0	0	0	0	0	0
IGKV6-21	11200000	19200000	7964500	0	0	0	0	0	0	0	0
ITIH1	2.57E+08	52500000	13200000	2.40E+08	6.91E+08	3.26E+08	1.82E+09	3.44E+09	1.29E+09	1.29E+09	9.34E+08
SYNPO2	0	26300000	14400000	1.90E+07	0	0	0	0	0	0	0
PLEKHA7	10500000	11400000	23200000	0	0	0	0	0	0	0	0
APIP	0	12200000	40500000	11900000	0	0	0	0	0	0	0
TJP2	21200000	14400000	20800000	0	0	0	0	0	0	0	0
FAM114A2	10100000	13400000	9783400	3065300	2730900	0	0	0	0	0	0
PGM5	33200000	27700000	0	53200000	0	0	0	0	0	0	0
PTER	14900000	26500000	34400000	0	0	0	0	0	0	0	0
FABP7	0	0	0	0	1.17E+09	2.23E+08	91600000	19900000	7.53E+08	6753300	0
NMI	2441400	15700000	35800000	0	0	0	0	0	0	0	0
SRSF5	34300000	3767300	21200000	0	0	0	0	0	0	0	0
GMPR	20300000	37300000	31300000	0	0	0	0	0	0	0	0
UBQLN1	3.30E+07	25200000	31900000	0	0	0	0	0	0	0	0
CAVIN3	0	35400000	42900000	6373000	0	0	0	0	0	0	0
CGNL1	21100000	38800000	33800000	0	0	0	0	0	0	0	0
IGKV1-17	45700000	22900000	25400000	0	0	0	0	0	0	0	0
RAB3A	22800000	13700000	58200000	0	0	0	0	0	0	0	0
ATOX1	3.40E+07	2.80E+07	45200000	0	0	0	0	0	0	0	0
SELENOH	6294900	22800000	63300000	0	0	0	0	0	0	0	0
STARD10	28500000	31100000	63100000	0	0	0	0	0	0	0	0
GOLGA3	14700000	60200000	57400000	17600000	14700000	0	0	0	0	0	0
BIN1	0	68800000	61500000	1.00E+07	0	0	0	0	0	0	0
EIF3H	54400000	42600000	63100000	0	0	0	0	0	0	0	0
EIF1	16500000	35200000	9.20E+07	0	0	0	0	0	0	0	0
IL16	0	48600000	9197900	1.50E+08	0	0	0	0	0	0	0
NENF	54900000	14900000	83900000	0	0	0	0	0	0	0	0
SHTN1	55400000	86700000	62400000	0	0	0	0	0	0	0	0
FBXO2	20700000	65500000	1.30E+08	0	0	0	0	0	0	0	0
TPD52L1	50500000	25900000	1.67E+08	0	0	0	0	0	0	0	0
CPD	1.50E+08	75600000	61500000	0	0	0	0	0	0	0	0
KIF21A	1.68E+08	62800000	20500000	0	0	0	0	0	0	0	0
HMGCS2	1.72E+08	71900000	49800000	0	0	0	0	0	0	0	0
SNTB1	1.89E+08	54600000	25300000	0	0	0	0	0	0	0	0
FAM3D	1.70E+08	17800000	6251500	0	0	0	0	0	0	0	0
PLA2G2A	93700000	2.42E+08	2.21E+08	0	0	0	0	0	0	0	0
SYTL1	2.18E+08	1.47E+08	2.18E+08	0	0	0	0	0	0	0	0
SBSPON	13400000	1.71E+08	80500000	39200000	0	25200000	0	0	0	0	0
SCGB1D1	7.25E+08	77800000	5.89E+08	0	0	0	0	0	0	0	0
SDF2L1	33700000	1.12E+08	1.56E+08	8706600	0	0	0	16900000	0	0	0
SCGB2A1	3.01E+08	99200000	1.63E+09	0	0	0	0	0	0	0	0
RNASE3	0	0	0	0	0	2.28E+08	69700000	14600000	23500000	26800000	20800000
PSIP1	22600000	24400000	19600000	2.00E+07	14800000	0	0	0	0	0	0
RPIA	8385100	22400000	41500000	21600000	0	0	0	0	13100000	0	0
KRT19	0	0	0	0	35500000	0	7169900	1.11E+08	25600000	54500000	22300000
IGHV3-73	49700000	8864400	37800000	1.29E+08	0	0	19400000	0	0	0	0
ACSS1	2.80E+07	14200000	19700000	6485800	0	9202800	0	0	0	0	0
RNPS1	9963600	14100000	17700000	6365200	0	6913500	0	0	0	0	0
KIF13B	87600000	12500000	9601400	7053200	0	0	0	0	0	8309000	0
TRIP6	0	0	0	0	5531700	20700000	19200000	1.20E+07	63100000	3.10E+07	0
PITPNA	43900000	27700000	14700000	35300000	0	0	0	0	0	24300000	0
RPS14	5.65E+08	6.41E+08	5.84E+08	2.62E+08	2.17E+08	69500000	1.34E+08	12900000	68600000	1.17E+08	12800000
ENPEP	0	0	0	0	19200000	5150400	7543800	13700000	4996900	8214600	0
FN1	1.79E+08	2.95E+09	6.15E+08	6.96E+09	7.93E+09	8.22E+09	3.43E+10	2.82E+10	1.31E+10	2.29E+10	7.68E+09
HMCN1	0	0	0	0	1107800	2.16E+08	4833000	6843100	3.05E+08	5141500	0
H1-4	4.28E+09	4.20E+09	8.29E+09	4.63E+09	6.27E+08	5.75E+08	3.51E+08	2.02E+08	2.14E+09	4.51E+08	3.02E+09
S100A1	79900000	13100000	1.21E+08	2701300	0	0	0	0	0	34100000	0
SP100	10600000	76100000	29700000	32400000	0	0	0	52900000	0	0	0
GLOD4	1.73E+08	1.74E+08	1.84E+08	1.12E+08	34100000	48800000	16200000	17700000	87700000	57500000	33700000
VWA5A	26900000	20900000	3433900	40700000	0	4.40E+07	0	0	0	0	0
FBN3	0	0	0	0	129880	3027000	1.32E+09	22600000	5.83E+08	812870	0
NGDN	1844800	769380	3171600	955190	0	0	0	0	3167800	0	0
DCTN2	2.88E+08	9.38E+08	8.39E+08	1.03E+08	76400000	43700000	43600000	8616900	2.57E+08	17400000	28200000
HAPLN1	0	0	1806700	6812200	1.18E+09	5.04E+09	7.14E+09	2685500	1.84E+09	2.10E+09	6.73E+08
MYH10	2.00E+07	9912900	2652000	3.60E+08	1.29E+09	1.84E+09	3.11E+08	1.01E+09	1.55E+09	8.75E+08	23100000
FBLN1	1.44E+08	3.60E+08	2.06E+08	6.22E+08	4.22E+08	1.52E+09	2.55E+09	3.52E+09	1.88E+09	1.65E+09	7.73E+08
NANS	6.02E+08	9.61E+08	1.18E+09	2.82E+08	68500000	1.18E+08	1.56E+08	8543700	1.03E+08	2.37E+08	74600000
KRT18	7.28E+09	1.57E+10	2.05E+10	9.22E+08	7.39E+08	1.06E+09	2.08E+08	2.68E+08	64500000	2.31E+09	5.01E+08
PDLIM1	2.99E+08	4.85E+08	6.45E+08	2.23E+08	21400000	2.04E+08	21600000	1.70E+07	2.95E+08	67500000	1.60E+07
TNC	17100000	2.27E+08	53300000	4.26E+08	7.54E+09	3.57E+08	1.97E+10	3.08E+10	2.15E+09	4.18E+08	4.73E+08
CD44	7.65E+08	5.80E+08	1.52E+09	4.80E+08	2.12E+08	2.88E+08	91500000	2.04E+08	1.43E+08	2.76E+08	11100000
F2	77500000	1.72E+08	46800000	4.49E+08	5.64E+08	5.49E+08	2.08E+09	7.08E+08	2.08E+08	1.33E+09	1.15E+09
PEBP1	3.16E+09	4.54E+09	7.39E+09	1.44E+09	6.60E+08	1.39E+09	3.11E+08	2.32E+08	1.68E+09	2.21E+09	5.33E+08
FMO1	1.79E+08	3.96E+08	2.28E+08	1.74E+08	0	13600000	0	0	54300000	0	0
ASS1	5.83E+08	2.35E+08	1.68E+08	29200000	1268000	35300000	6363400	5229600	5045600	21300000	44100000
MFAP2	8382800	25800000	13500000	4.40E+07	68200000	1.65E+08	2.16E+09	4.71E+08	3.41E+08	71700000	36300000
SORBS1	31100000	2.49E+08	2.29E+08	18500000	0	1.00E+07	0	0	4636200	0	0
PLG	33800000	4.87E+08	63100000	1.28E+09	2.05E+09	7.00E+08	8.20E+09	2.37E+09	5.32E+08	4.84E+09	2.40E+09
MXRA5	0	1.20E+07	0	3936400	50800000	89200000	2.73E+08	2.86E+08	46200000	1.02E+08	47400000
RRBP1	3.50E+09	1.74E+09	3.00E+09	4.78E+08	2.00E+08	3.12E+08	1.73E+08	3205800	2.82E+08	5.23E+08	58300000
SERPINE2	0	0	5654300	8039200	2.05E+09	64400000	1.84E+08	9.84E+08	10200000	59900000	2.20E+07
TPD52L2	60700000	15900000	3.38E+08	16800000	4791600	0	0	0	12200000	0	0
GCA	6853100	0	0	9034000	25200000	3.46E+08	5.18E+08	1.15E+08	40100000	61100000	52900000
FBP1	7.30E+08	77700000	98500000	50100000	0	18900000	0	0	0	27100000	0
MAMDC2	0	6158300	0	7440400	68400000	41200000	1.12E+08	2.65E+08	1.23E+08	53300000	12800000
SOD2	3.58E+09	3.22E+09	7.83E+09	6.21E+09	1.11E+08	1.16E+09	1.36E+09	3.26E+09	2.49E+08	7.03E+08	5.37E+08
TPD52	7.03E+08	3.70E+08	2.99E+09	7682800	371810	0	0	0	531310	0	4073600
COL1A1	2.64E+08	83600000	1.26E+08	2.38E+08	2.12E+08	1.35E+09	9.77E+08	1.25E+09	4.58E+08	1.18E+09	4.06E+09
PNPO	80500000	1.11E+08	1.52E+08	28200000	12800000	0	0	0	50500000	0	0
ALDH1L1	1.21E+09	4.09E+08	1.96E+08	21400000	6467200	71500000	5856600	20300000	770350	42600000	4899000
TESC	41100000	33400000	3.40E+08	1.50E+07	0	13100000	0	9281600	0	0	0
MRC2	0	4422100	0	80200000	2.99E+08	3.50E+08	33400000	1.24E+08	2.10E+08	2.33E+08	71700000
TNKS1BP1	1.94E+08	12400000	1.15E+08	14400000	0	0	0	10400000	10500000	0	0
C1QC	8210100	0	0	1.54E+08	2.01E+08	1.47E+08	1.33E+09	4.98E+08	1.80E+08	1.66E+08	3.06E+08
SLC25A13	12300000	0	0	1097900	6.84E+08	2.67E+08	4007500	6367900	3.13E+08	17900000	3041300
AZGP1	6.60E+09	3.18E+09	2.62E+10	3.31E+08	98500000	9.74E+08	1.07E+08	6.20E+08	1.07E+08	7.03E+08	3.06E+08
CES1	87700000	1.78E+08	21100000	60800000	0	44300000	10500000	0	0	0	0
PREB	47300000	41800000	31600000	9813700	9897400	10100000	0	0	0	0	0
AKR1A1	1.18E+09	8.04E+08	8.90E+08	5.59E+08	1.62E+08	2.99E+08	99100000	22300000	2.66E+08	9.33E+08	35200000
NQO2	2.73E+08	1.31E+08	48100000	18500000	0	0	0	0	3.70E+07	28500000	0
RBM8A	18400000	19700000	76800000	23400000	13700000	0	0	0	11800000	0	0
GOLGB1	65300000	1.22E+08	29300000	1.20E+07	26700000	13700000	0	0	0	0	0
PGM3	1.07E+08	22600000	27800000	22500000	55600000	5008200	0	0	0	0	0
PRTN3	0	23200000	0	57700000	7704500	2.51E+09	4.72E+08	1.19E+08	2.84E+08	3.10E+08	2.10E+08
BPNT1	41300000	2.90E+07	17200000	21200000	11700000	0	0	0	19400000	0	0
STK4	10600000	47100000	13500000	63600000	0	0	24200000	0	5098700	0	0
B2M	2.54E+08	3.13E+08	4.54E+08	57200000	9415800	92400000	9.40E+07	31500000	45400000	24400000	30200000
SLC3A2	35300000	0	0	7814000	5.97E+08	1.25E+08	1.19E+08	99500000	2.84E+08	20100000	7697800
GOLGA4	26500000	86100000	21500000	19700000	13100000	0	0	0	32900000	0	0
DYRK4	32500000	28400000	1.24E+08	53900000	0	0	1.90E+07	33800000	0	0	0
SERPING1	35100000	17500000	42100000	1.89E+08	1.93E+08	1.11E+08	3.24E+08	1.25E+08	1.08E+08	4.22E+08	2.20E+08
MGST3	0	2708400	0	58600000	1.59E+08	1.08E+08	12100000	51900000	55100000	35400000	77700000
DMD	2.00E+07	18800000	42900000	8831900	16900000	0	0	0	10500000	0	0
MMP9	0	37700000	0	57800000	1.85E+08	1.29E+09	1.83E+08	3.00E+07	1.66E+08	2.31E+08	2.01E+08
EIF3K	4.50E+07	43700000	43600000	26500000	3.40E+07	0	22500000	0	0	0	0
EPS15L1	13800000	36800000	47100000	1.10E+07	13900000	0	0	0	20400000	0	0
SERPIND1	0	7820100	0	2.32E+08	70800000	88100000	2.32E+08	2.01E+08	71200000	6.36E+08	4.86E+08
PFDN2	13700000	12300000	6.80E+07	9315900	0	9397100	0	0	13300000	0	0
ADPRS	37100000	43500000	20400000	12900000	0	9708100	0	0	32700000	0	0
SCLY	6990900	11100000	26800000	6926600	5019200	0	0	0	10900000	0	0
UBA5	37700000	1.20E+07	11500000	29300000	0	2.60E+07	0	0	7566200	0	0
PCOLCE	0	51800000	0	63800000	1.25E+08	1.18E+08	4.22E+08	6.48E+08	82300000	3.92E+08	1.33E+08
CRABP2	0	33300000	0	2887600	1947600	3.99E+08	60900000	17800000	8.53E+08	53800000	10400000
SEPTIN10	9137700	11300000	18100000	6109000	2740300	21600000	0	0	0	0	0
STX4	11600000	13900000	16900000	12800000	0	10100000	0	0	11900000	0	0
SLTM	12600000	10800000	17800000	17400000	4515900	0	0	0	40900000	0	0
RANBP3	6455000	19600000	14700000	7712300	0	0	7404500	0	8049400	0	0
UFC1	26800000	14500000	14300000	6067000	0	15800000	0	0	0	6619100	0
COL5A2	0	32200000	0	21200000	30100000	1.10E+08	1.24E+08	94700000	1.35E+08	1.26E+08	22300000
SCUBE3	0	0	0	0	3.56E+08	4.52E+08	46900000	93400000	0	1.60E+08	0
UCHL3	67300000	1.30E+07	45900000	4870800	0	11300000	2.80E+07	0	0	0	0
ASPN	1.87E+08	1.30E+09	5.14E+08	3.83E+08	1.47E+09	9.60E+08	3.20E+09	2.22E+10	1.50E+09	2.24E+09	2.78E+09
LPA	0	0	0	0	0	34100000	3.15E+08	78300000	0	1.05E+08	54500000
ABRACL	6647700	2948100	3294100	3203500	0	2567600	1995600	0	0	0	0
PLS3	0	29100000	0	1.39E+08	2.79E+08	2.71E+08	8.70E+07	98300000	4.16E+08	1.36E+08	78400000
CRTAP	0	0	0	0	1.60E+08	2.17E+08	2.20E+07	0	20400000	0	26800000
THY1	17700000	0	0	2.61E+08	4.09E+08	6.26E+08	22400000	1.99E+08	5.69E+08	69700000	1.65E+08
FKBP9	0	0	15600000	22300000	48500000	58200000	22400000	36500000	80600000	39700000	1.03E+08
C4BPB	0	0	0	0	0	30200000	84800000	14300000	0	25700000	46100000
LTBP2	0	4.90E+07	0	37200000	3.60E+07	3.71E+08	1.36E+08	5.74E+08	1.60E+08	96600000	1.20E+07
HIP1R	23500000	8762900	17300000	8949000	19100000	0	0	0	1.90E+07	0	0
PLXDC2	0	0	0	0	0	17700000	11100000	42100000	50500000	20900000	0
FAP	0	0	0	0	1.10E+08	41900000	7048000	1.19E+08	13300000	0	0
NXF1	0	0	0	0	41900000	30800000	0	5239400	1.23E+08	0	35900000
CROCC	1.06E+09	1.25E+09	1.39E+09	1.44E+08	2902200	68300000	0	20600000	0	0	0
NCOA5	12300000	26400000	12900000	10100000	19200000	0	0	0	24900000	0	0
FARP1	0	0	0	0	29100000	7294300	0	33700000	1.34E+08	4501900	0
P3H3	0	0	0	0	6.20E+07	16400000	1.10E+07	9590400	0	0	9038200
CBX5	10900000	22200000	29800000	11200000	0	0	0	0	41100000	12100000	0
RAC2	22100000	23800000	15600000	4.11E+08	0	49600000	1.02E+08	0	0	0	0
CSNK1A1	0	0	0	0	24600000	3477600	2918900	8892600	2.20E+07	0	0
MYO1D	10100000	0	0	80700000	1.27E+08	2.39E+08	9738700	1.22E+08	2.37E+08	34700000	22900000
EXOC4	34700000	89600000	87500000	2.80E+07	2.49E+08	0	0	5.40E+07	0	0	0
PTGS1	0	0	0	0	5213700	1.99E+08	2700100	4696200	4901500	0	0
LAMA3	0	35800000	2430800	0	1.90E+07	79700000	2.06E+08	2570900	3.18E+08	22800000	2436200
GMFB	8167800	7487000	27600000	4177500	0	0	8481600	0	17200000	0	0
GUK1	6519000	17300000	22800000	7959000	0	0	1.40E+07	0	0	16300000	0
TMED10	1.16E+09	4.24E+08	2.51E+08	3.53E+08	1.54E+08	4.46E+08	49800000	2.75E+08	1.31E+08	5.70E+07	18400000
SERPINA4	0	3166600	0	56300000	53800000	14900000	3.10E+07	46900000	9631100	18800000	37900000
RPL27	4.33E+08	6.02E+08	8.98E+08	2.12E+08	2.73E+08	92900000	63900000	17400000	5.52E+08	2.15E+08	24400000
MFAP4	0	76900000	0	1.97E+08	35200000	4.47E+08	1.66E+08	2.32E+09	13600000	5.72E+08	1.99E+08
CAVIN1	1.25E+08	8.28E+08	7.54E+08	3.28E+08	82400000	1.44E+08	88900000	21600000	4.04E+08	1.94E+08	2.10E+07
EPB42	5236100	0	0	1.68E+08	428150	6.86E+08	34800000	14900000	1.67E+08	3.49E+08	3.01E+08
PRMT1	0	1.17E+08	0	88300000	3.22E+08	84800000	9.10E+07	1.17E+08	2.64E+08	79300000	33900000
COL14A1	1.32E+09	2.64E+09	4.51E+08	8.36E+09	2.87E+09	1.80E+10	1.39E+10	1.50E+10	3.30E+09	2.93E+10	6.70E+09
PRPF8	15700000	0	0	57600000	9.53E+08	1.68E+08	37900000	8106000	3.07E+08	4450100	4630300
EHD1	0	8657000	0	1.46E+08	57500000	47800000	18100000	2.33E+08	45900000	25800000	11100000
MT2A	3194500	1301700	3532700	1869400	0	5034700	0	0	9110200	0	0
PTX3	12900000	0	0	0	2.48E+08	3.11E+08	5.62E+08	46700000	48700000	2.78E+08	0
PIR	0	1366000	0	1606900	0	0	0	0	0	0	0
PSMD9	1.23E+08	16900000	54200000	7743000	1754200	0	0	1853300	0	1043500	0
GASK1A	0	3006000	0	7772800	0	0	0	0	0	0	0
POLR2I	0	4003700	0	1149900	0	0	0	0	0	0	0
PAK1	0	13100000	0	6939100	0	0	0	0	0	0	0
PRG3	0	4473500	0	14300000	0	0	0	0	0	0	0
PRKAR2B	0	16600000	0	9799500	0	0	0	0	0	0	0
IGKV1-8	0	15300000	0	24800000	0	0	0	0	0	0	0
PHYKPL	0	21300000	0	19800000	0	0	0	0	0	0	0
SPATS2L	0	2929400	4297800	0	0	0	0	0	0	0	0
ISG15	14900000	0	0	13300000	0	0	0	0	0	0	0
PPFIBP2	0	5544300	6939600	0	0	0	0	0	0	0	0
ARL15	0	7877600	4580600	0	0	0	0	0	0	0	0
CASP7	0	8972200	4233900	0	0	0	0	0	0	0	0
MRPS31	0	7381900	8844800	0	0	0	0	0	0	0	0
TXN2	0	0	1.20E+07	19300000	0	0	0	0	0	0	0
IGLV1-40	0	0	11200000	20200000	0	0	0	0	0	0	0
GPHN	0	9310200	9875900	0	0	0	0	0	0	0	0
IGKV1-13	0	5.20E+07	0	2.60E+07	0	0	0	0	0	0	0
PCYT2	0	12500000	5183600	0	0	0	0	0	0	0	0
RAB9A	0	8284500	12100000	0	0	0	0	0	0	0	0
SELENOM	0	3983700	1.00E+07	0	0	0	0	0	0	0	0
SH3GLB2	0	8084400	13800000	0	0	0	0	0	0	0	0
TPPP3	0	16800000	12400000	0	0	0	0	0	0	0	0
PHIP	5542100	0	7412400	0	0	0	0	0	0	0	0
NUDT4	0	8994400	15500000	0	0	0	0	0	0	0	0
SLC6A14	12200000	0	0	2747600	0	0	0	0	0	0	0
KANK4	16600000	27300000	0	0	0	0	0	0	0	0	0
ELMO1	5595900	0	0	29300000	0	0	0	0	0	0	0
HAX1	0	22200000	11500000	0	0	0	0	0	0	0	0
TSC22D4	0	6027000	15500000	0	0	0	0	0	0	0	0
BAG2	0	17600000	5271500	0	0	0	0	0	0	0	0
MTFR1L	0	19100000	20300000	0	0	0	0	0	0	0	0
PBDC1	0	18900000	20500000	0	0	0	0	0	0	0	0
STX12	10100000	0	10100000	0	0	0	0	0	0	0	0
NGFR	0	0	32700000	36700000	0	0	0	0	0	0	0
SETD7	9381500	0	10900000	0	0	0	0	0	0	0	0
PDLIM3	0	21700000	22300000	0	0	0	0	0	0	0	0
COG4	36100000	0	0	69600000	0	0	0	0	0	0	0
TTC38	11600000	0	12400000	0	0	0	0	0	0	0	0
CD34	0	17400000	26400000	0	0	0	0	0	0	0	0
STRN3	0	28200000	31400000	0	0	0	0	0	0	0	0
SEC24A	43800000	0	0	13200000	0	0	0	0	0	0	0
SPRYD7	16400000	0	7853300	0	0	0	0	0	0	0	0
PLCB1	32100000	52800000	0	0	0	0	0	0	0	0	0
CGN	0	38100000	26700000	0	0	0	0	0	0	0	0
ZRANB2	11800000	0	1.80E+07	0	0	0	0	0	0	0	0
TOMM22	19300000	0	11700000	0	0	0	0	0	0	0	0
TSTD1	11200000	0	20700000	0	0	0	0	0	0	0	0
SRP19	18900000	0	20800000	0	0	0	0	0	0	0	0
UAP1	2.30E+07	0	13300000	0	0	0	0	0	0	0	0
GCHFR	0	0	22700000	4971700	0	0	0	0	0	0	0
ALG13	9872000	0	21900000	0	0	0	0	0	0	0	0
UFD1	30700000	0	15300000	0	0	0	0	0	0	0	0
WDFY4	14300000	0	30400000	0	0	0	0	0	0	0	0
SASH3	0	3086600	0	40100000	0	0	0	0	0	0	0
DCTN3	29500000	0	3.50E+07	0	0	0	0	0	0	0	0
SPINT2	20400000	0	4622800	0	0	0	0	0	0	0	0
CLIP1	5494300	0	23600000	0	0	0	0	0	0	0	0
SEPTIN1	0	11900000	0	1.19E+08	0	0	0	0	0	0	0
AAMDC	10100000	0	34800000	0	0	0	0	0	0	0	0
SDF4	0	14600000	58100000	0	0	0	0	0	0	0	0
COL28A1	0	83300000	18700000	0	0	0	0	0	0	0	0
PDAP1	17900000	0	49800000	0	0	0	0	0	0	0	0
RPS27	74800000	0	0	10800000	0	0	0	0	0	0	0
HDDC3	0	1050800	10500000	0	0	0	0	0	0	0	0
STEAP3	51400000	0	11300000	0	0	0	0	0	0	0	0
SH3KBP1	49300000	0	1.30E+08	0	0	0	0	0	0	0	0
TCN1	1.30E+08	0	1.38E+08	0	0	0	0	0	0	0	0
GALNT6	1.19E+08	15600000	0	0	0	0	0	0	0	0	0
SERPINB6	4.19E+08	1.58E+08	66400000	2.43E+08	25100000	1.95E+08	15900000	26300000	20700000	1.09E+08	38400000
CPXM1	0	0	0	1623100	5604200	23700000	12600000	3.33E+08	6691900	1.95E+08	0
PRPH	3998600	9.44E+08	1.20E+07	6.00E+07	0	0	2221900	0	0	747340	2799500
MBP	0	3.84E+08	0	6036700	0	0	0	0	0	0	0
CD276	0	5389700	0	0	5.00E+07	75100000	0	62400000	53600000	31200000	45300000
COL5A1	0	0	0	8084400	14700000	10100000	1.04E+08	2.18E+08	70300000	97400000	0
LACRT	1.65E+08	1.07E+08	1.47E+09	0	0	0	0	8928900	0	0	0
P3H1	0	0	0	9104900	47300000	66700000	55800000	47500000	13400000	74100000	0
CNBP	1.76E+08	1.33E+08	1.55E+08	1.31E+08	31200000	0	0	0	42700000	5738900	0
BGN	1.39E+09	7.30E+09	3.77E+09	4.93E+09	9.22E+09	1.17E+10	3.06E+10	1.80E+11	6.14E+09	1.79E+10	9.36E+09
ANG	0	82600000	0	1.09E+08	30100000	32200000	1.25E+08	1.94E+08	24500000	76100000	39400000
SURF4	73300000	0	0	59700000	2.99E+08	1.80E+08	7082700	24900000	49800000	23900000	20100000
